CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bhutan,BTN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75022491,60503404,61007916,47650215,70779766,92283274,73765182,57949829,52119522,54958721,52526250,52589438
Botswana,BWA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,3921528,36800011,40619522,34293015,16809679,25861237,29041338,25542391,22608639,24030069,15663052,22031305,1131666,18780264,36428864,117981205,117928923,139212457,131444549,145307826,198938992,86366731,119016206,117727669,122264636,133941061,129091562,129616290,185589022,99200398,107032767,97409868,98646331,57561580,59503725,85473962,106336175,119716588,80828987,88574789,78532496,64817684,67869627
Central African Republic,CAF,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,11335898,14823458,10511389,19609091,15783966,17714209,16739882,15264671,15051318,24230022,28944897,33013458,31184141,35987026,35199422,34591173,35968736,27377290,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314152129,1312810162,1225019805,1137252966,1180866507,1306027082,1451288395,1547247001,1494681390,1614217940,1696954072,1775061318,1971961662,2242093866,2611309873,3260706885,3286652721,4566586210,4859367364,4657241478,5290184986,5556135644,5630387989,5704383062,5940627970,5112912771,4976417570,4915213595
Central Europe and the Baltics,CEB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144234,24086494,240562590,525506811,750624542,756134801,1128780841,1049646357,1286917704,1453635142,1539967333,1791894781,2701006873,3535916009,4351804289,6106369132,8380184782,6619906987,5735786475,6558750259,6574134949,6380939367,7695017710,7172535794,8475069914,11354243820
Switzerland,CHE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,1306414551,1865186401,2126028076,2339309326,2326597656,2755784424,2690623535,2470545654,2509029785,3777273438,5032216797,5765734863,6108715332,8167895428,8675015545,8851328208,8220467645,8723305860,10114090360,9613999887,7846621593,7767413870,7578140728,5873310586,6555597246,7528259478,9139365050,10332372823,10516784820,11277752720,12898521369,15223780930,15698261479,17762052300,22698308796,22927175632,24663454111,25869021700,25400418490,25774490615,26597793308
Channel Islands,CHI,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,70000000,93000000,81000000,14000000,14000000,13000000,12100000,14200000,14100000,17600000,7200000,8333333,9466666,10600000,11733334,12866667,14000000,20500000,15808000,14400000,15600000,15700000,15900000,3500000,3600002,3199999,3200000,3200001,3200000,103939862,148788989,177089471,237627483,310104616,304434933,386476769,411004215,437762297
China,CHN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,3000000,2000000,2000000,3000000,3000000,3000000,4000000,3000000,5000000,18000000,15000000,15000000,19000000,85666664,152333328,198000000,272000000,593000000,754290000,936000000,1172943240,1597068954,1997994276,1817413690,2329992813,2493058145,2736390791,2051656434,1455455375,1618147148,1788058506,1714202599,4155302052,20421778043,20285995518,16177706325
Cote d'Ivoire,CIV,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,191775665,294203186,351270386,463980866,636982666,786162170,503806244,399870667,328551971,298885468,286691773,431988007,513747803,528792847,412528442,471232452,445930237,456757629,430494751,355004211,456978302,523895447,495143341,516943970,498902771,389722260,379542145,573897827,627857544,591410156,596970650,660448522,698348002,755629134,743407860,725585317,727612409,694484668,736072392,745873376,649507955,715498928,
Cameroon,CMR,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,10908513,20119131,37090725,101760910,101460465,98050476,117853592,106600960,138983185,135285019,136655579,160551575,114103615,110884702,95353921,135062741,106511249,62229301,22338045,37081634,35565341,33510027,28118441,29980072,41725639,55576407,56736549,42170435,56175904,91671269,89563895,56348155,129946594,54179780,80611849,72905038,65112132,82117258,75577035,81193849,83555387
"Congo, Dem. Rep.",COD,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32300000,31500000,26400000,37400000,30900000,57200000,812600000,669745992,920031732,450677741,851177411,461267234,512710491
